n,preval,crate,recov,R0,ptran
6967,0.175685373905555,6.83251780690625,0.152785561421653,4.91181380208582,0.109835678524212
7087,0.118244673345562,7.80681700212881,0.165900285701966,1.35636997781694,0.028823804474479
9296,0.0337779690189329,8.85193578666076,0.168873293333687,3.61897503770888,0.0690411959417124
7681,0.202968363494337,13.3714081975631,0.0948397270184942,2.41003253124654,0.017093699032445
5046,0.267142290923504,8.40999302919954,0.195943169714184,1.21274173539132,0.028255488304474
8563,0.199696368095294,13.6211799434386,0.235441542622866,3.1875946931541,0.0550974449298115
5182,0.307410266306445,13.1035605701618,0.222486241457518,3.99736368376762,0.0678715084330133
7344,0.0599128540305011,12.350267204456,0.0777247159532271,1.95587040577084,0.0123090026485429
8361,0.231072838177252,5.66334937699139,0.103768012306886,4.49561855848879,0.0823719977085634
7590,0.0949934123847167,9.75169745506719,0.112696352275088,3.99151210021228,0.0461282618568176
6065,0.243858202802968,10.6051379372366,0.129508035799256,2.6621355554089,0.0325095202771312
6834,0.271729587357331,7.53088787663728,0.154752472825581,3.78965013008565,0.0778736502762018
7095,0.0893587033121917,6.31684569409117,0.0901931789638475,2.89462609682232,0.0413300470246299
6545,0.19572192513369,5.85202443180606,0.203811363878427,3.43689255323261,0.119698365401692
8684,0.100069092584063,6.70293706702068,0.111646229547216,2.11879422049969,0.0352913034301196
9747,0.0656612290961322,8.94360161619261,0.205448390857317,1.46352573856711,0.0336194545408298
7437,0.173457039128681,9.35116039123386,0.237855883458164,2.93862674664706,0.0747468369415165
9914,0.0514424046802502,14.4897094438784,0.172777995849727,1.94749240670353,0.0232222624108557
5197,0.20935154897056,6.72059621661902,0.23243967142771,2.09320454951376,0.0723959247122772
6413,0.235771089973491,14.6766887721606,0.209105204659048,4.15451443195343,0.0591911843358321
5451,0.267290405430196,9.63043980766088,0.223789266313193,1.12929461151361,0.0262422088304873
8654,0.224867113473538,10.3073698491789,0.200268445955822,4.88174607604742,0.0948505500924494
6025,0.090954356846473,12.1530032111332,0.166053219423629,2.2613507444039,0.0308980887136024
9547,0.088195244579449,13.6309560900554,0.236211331837112,1.36898346617818,0.023723164073931
5118,0.0205158264947245,5.7332829083316,0.174821470700204,1.94990240037441,0.0594571750261861
7403,0.109820343104147,14.0866889758036,0.072587897460442,3.00263813510537,0.0154724214779086
5315,0.37271872060207,6.8660942139104,0.20737913052435,4.99363657552749,0.150824614245673
9596,0.121717382242601,12.7954816888087,0.134194661946502,1.93816118594259,0.0203267756127447
8973,0.0732196589769308,14.4700055941939,0.238289384791395,4.04764364100993,0.0666558493562756
7680,0.141666666666667,14.1975662251934,0.21857910189731,3.87378032971174,0.0596389135986807
8129,0.200024603272235,9.95916756568477,0.154725924985483,1.30352898035198,0.0202516652019477
7014,0.184203022526376,14.1080057807267,0.123298809179803,1.3265730952844,0.0115937635326166
5914,0.087588772404464,12.5426774821244,0.168616144143278,3.66691599041224,0.0492957931894391
5088,0.174331761006289,10.6557974196039,0.20764288038481,2.91428682673723,0.0567888903234911
7971,0.0834274244134989,11.2727449182421,0.163797391442815,1.76113859936595,0.0255900324754603
8316,0.207792207792208,9.05547259608284,0.231807924397057,3.43028634041548,0.0878107186811274
9069,0.109493880251406,9.46063177660108,0.143490319338161,3.42777468822897,0.0519893910097777
6388,0.215090795241077,12.157858191058,0.121924212994287,3.75132383964956,0.0376198833419832
5078,0.389129578574242,14.1851173504256,0.122356287734583,1.67582007311285,0.0144550882443728
7649,0.11910053601778,13.9762798999436,0.219072323211469,1.29246701579541,0.0202588781744158
8236,0.232880038853813,13.2916076667607,0.153129830137827,2.94379984308034,0.0339149018863957
7728,0.206780538302277,10.6757046910934,0.140681249156594,4.75688369572163,0.0626847931607796
8260,0.195157384987893,14.2596487142146,0.0847114893184044,4.01027863938361,0.0238236356962516
6012,0.0607119095143047,11.2628197995946,0.152881344279973,2.78743817377836,0.0378366432818083
9490,0.148788198103267,5.24141086498275,0.185735504254,2.10838243924081,0.0747129896129522
7742,0.216610694910876,7.39956906763837,0.112798359046225,1.42883170116693,0.0217809807262592
8010,0.162421972534332,13.9110182761215,0.180446600201773,2.10963286273181,0.027365076387494
8312,0.206087584215592,14.3034074292518,0.153457178369863,3.74265151284635,0.0401538405183458
7248,0.0298013245033113,9.18412498896942,0.0951931432669517,1.3049317067489,0.0135255727751235
8628,0.180458970792768,5.2354875439778,0.143738604022656,1.99522324372083,0.0547782038171158
9456,0.047165820642978,12.3116109427065,0.234310381122632,4.22753840219229,0.0804570692525867
9535,0.120293654955427,13.4461890603416,0.118200704535004,2.20153910759836,0.0193529536444641
6150,0.148943089430894,5.50199612509459,0.18725087786396,2.7403925601393,0.0932644990856164
9614,0.0411899313501144,13.9012879063375,0.188703851723811,3.55089707579464,0.0482018615679331
6332,0.0701200252684776,14.7625814471394,0.217806000803597,3.48112287558615,0.0513602214187452
5885,0.183857264231096,8.67595406481996,0.119971148377284,1.07526638079435,0.0148687904006395
6223,0.0716696127269806,5.14319527894259,0.128984892542241,3.98500112444162,0.0999388345064918
7716,0.0762052877138414,9.07137616770342,0.092134189349832,2.27240258455277,0.0230798465562074
6427,0.278512525283958,10.226975872647,0.125179381245514,3.88701935764402,0.0475775717219206
8584,0.18208294501398,10.6683543045074,0.109811378805665,2.98685691133142,0.030744280361026
